year,player_id,name,country,goals,assists,yellow_cards,red_cards,minutes_played,img_url
2022,496652,Dylan Levitt,Wales,4,2,3,0,1469,https://img.a.transfermarkt.technology/portrait/header/496652-1615797379.jpg?lm=1
2022,106721,Ash Taylor,Wales,4,1,4,1,1432,https://img.a.transfermarkt.technology/portrait/header/106721-1624023134.jpg?lm=1
2022,297212,Joe Rodon,Wales,1,0,2,1,1370,https://img.a.transfermarkt.technology/portrait/header/297212-1666698393.jpg?lm=1
2022,255353,Christian Doidge,Wales,0,1,1,0,1294,https://img.a.transfermarkt.technology/portrait/header/255353-1624008743.jpg?lm=1
2022,485729,Fashion Sakala,Zambia,8,3,0,0,1705,https://img.a.transfermarkt.technology/portrait/header/485729-1616788548.jpg?lm=1
2022,365172,Patson Daka,Zambia,6,3,4,0,1620,https://img.a.transfermarkt.technology/portrait/header/365172-1638810490.jpg?lm=1
2022,333859,Lubambo Musonda,Zambia,3,2,3,0,1477,https://img.a.transfermarkt.technology/portrait/header/333859-1664568823.png?lm=1
2022,490309,Edward Chilufya,Zambia,1,0,0,0,1046,https://img.a.transfermarkt.technology/portrait/header/490309-1695368588.jpg?lm=1
2022,545538,Lameck Banda,Zambia,1,1,2,0,892,https://img.a.transfermarkt.technology/portrait/header/545538-1663744937.jpg?lm=1
2022,684998,Kings Kangwa,Zambia,3,0,4,0,870,https://img.a.transfermarkt.technology/portrait/header/684998-1694785129.jpg?lm=1
2022,212415,Evans Kangwa,Zambia,1,0,3,0,745,https://img.a.transfermarkt.technology/portrait/header/212415-1634134896.png?lm=1
2022,490307,Enock Mwepu,Zambia,1,4,1,0,687,https://img.a.transfermarkt.technology/portrait/header/490307-1601103558.png?lm=1
2022,25118,Jacob Mulenga,Zambia,1,0,0,0,88,https://img.a.transfermarkt.technology/portrait/header/s_25118_200_2012_2.jpg?lm=1
2022,414908,Marshall Munetsi,Zimbabwe,6,2,8,0,2109,https://img.a.transfermarkt.technology/portrait/header/414908-1723836952.png?lm=1
2022,633530,Jordan Zemura,Zimbabwe,0,1,1,0,947,https://img.a.transfermarkt.technology/portrait/header/633530-1730184134.jpg?lm=1
2022,384060,Tino Kadewere,Zimbabwe,2,0,0,0,439,https://img.a.transfermarkt.technology/portrait/header/384060-1640776127.jpg?lm=1
2022,324882,Marvelous Nakamba,Zimbabwe,0,0,1,0,147,https://img.a.transfermarkt.technology/portrait/header/324882-1700736255.jpg?lm=1
2023,165513,Berat Djimsiti,Albania,1,1,6,0,3494,https://img.a.transfermarkt.technology/portrait/header/165513-1718627443.jpg?lm=1
2023,85295,Iván Balliu,Albania,0,0,5,0,3230,https://img.a.transfermarkt.technology/portrait/header/85295-1688119678.jpg?lm=1
2023,442703,Ylber Ramadani,Albania,1,1,10,0,2932,https://img.a.transfermarkt.technology/portrait/header/442703-1691151579.jpg?lm=1
2023,606967,Arbnor Muja,Albania,9,6,7,0,2605,https://img.a.transfermarkt.technology/portrait/header/606967-1730122770.JPG?lm=1
2023,200056,Elseid Hysaj,Albania,1,0,3,0,2578,https://img.a.transfermarkt.technology/portrait/header/200056-1661350737.jpg?lm=1
2023,435228,Ardian Ismajli,Albania,0,0,2,0,2171,https://img.a.transfermarkt.technology/portrait/header/435228-1663677962.jpg?lm=1
2023,289228,Eduart Rroca,Albania,3,6,8,0,1741,https://img.a.transfermarkt.technology/portrait/header/289228-1697641171.png?lm=1
2023,390177,Nedim Bajrami,Albania,3,2,1,0,1730,https://img.a.transfermarkt.technology/portrait/header/390177-1661510744.jpg?lm=1
2023,521872,Mirlind Daku,Albania,4,1,5,0,1542,https://img.a.transfermarkt.technology/portrait/header/521872-1722142492.png?lm=1
2023,448920,Enea Mihaj,Albania,0,0,2,0,1394,https://img.a.transfermarkt.technology/portrait/header/448920-1716969244.jpg?lm=1
2023,418659,Amine Gouiri,Algeria,14,4,5,0,3298,https://img.a.transfermarkt.technology/portrait/header/418659-1649428727.jpg?lm=1
2023,592403,Adem Zorgane,Algeria,5,6,4,0,3054,https://img.a.transfermarkt.technology/portrait/header/592403-1661330570.jpg?lm=1
2023,284732,Ramy Bensebaini,Algeria,1,2,9,0,2757,https://img.a.transfermarkt.technology/portrait/header/284732-1730103772.jpg?lm=1
2023,592400,Abdelkahar Kadri,Algeria,6,2,6,0,2681,https://img.a.transfermarkt.technology/portrait/header/592400-1679214180.jpg?lm=1
2023,855015,Farès Chaïbi,Algeria,4,6,3,0,2607,https://img.a.transfermarkt.technology/portrait/header/855015-1693383538.jpg?lm=1
2023,416660,Ramiz Zerrouki,Algeria,2,4,8,0,2578,https://img.a.transfermarkt.technology/portrait/header/416660-1699461610.jpg?lm=1
2023,290532,Saïd Benrahma,Algeria,5,4,1,0,2359,https://img.a.transfermarkt.technology/portrait/header/290532-1686212081.jpg?lm=1
2023,80293,Aïssa Mandi,Algeria,1,0,3,0,2336,https://img.a.transfermarkt.technology/portrait/header/80293-1704566125.jpg?lm=1
2023,560593,Hicham Boudaoui,Algeria,3,1,7,0,2222,https://img.a.transfermarkt.technology/portrait/header/560593-1649428044.jpg?lm=1
2023,245537,Nabil Bentaleb,Algeria,2,3,9,0,2178,https://img.a.transfermarkt.technology/portrait/header/245537-1672670443.jpg?lm=1
2023,24846,Ricardo Batista,Angola,0,0,4,0,3060,https://img.a.transfermarkt.technology/portrait/header/24846-1663602421.png?lm=1
2023,354814,M'Bala Nzola,Angola,8,5,5,0,2598,https://img.a.transfermarkt.technology/portrait/header/354814-1664974000.jpg?lm=1
2023,514256,João Batxi,Angola,4,5,6,0,2391,https://img.a.transfermarkt.technology/portrait/header/514256-1675329670.png?lm=1
2023,187718,Clinton Mata,Angola,0,3,4,0,2032,https://img.a.transfermarkt.technology/portrait/header/187718-1616529648.jpg?lm=1
2023,149716,Ivan Cavaleiro,Angola,3,4,2,0,1790,https://img.a.transfermarkt.technology/portrait/header/149716-1708342303.jpg?lm=1
2023,666539,Beni,Angola,0,2,10,0,1761,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
2023,316709,Marsoni Sambu,Angola,0,0,4,0,1448,https://img.a.transfermarkt.technology/portrait/header/316709-1709824735.png?lm=1
2023,836441,Kialonda Gaspar,Angola,1,0,5,0,1305,https://img.a.transfermarkt.technology/portrait/header/836441-1730185525.jpg?lm=1
2023,560483,Randy Nteka,Angola,1,0,3,0,1295,https://img.a.transfermarkt.technology/portrait/header/560483-1600680162.jpg?lm=1
2023,696693,Loide Augusto,Angola,1,1,5,0,1175,https://img.a.transfermarkt.technology/portrait/header/696693-1724671419.jpg?lm=1
2023,499604,Dion Pereira,Antigua and Barbuda,2,0,0,0,159,https://img.a.transfermarkt.technology/portrait/header/499604-1550308858.jpg?lm=1
2023,406625,Lautaro Martínez,Argentina,37,9,9,0,4234,https://img.a.transfermarkt.technology/portrait/header/406625-1695024988.jpg?lm=1
2023,296802,Walter Benítez,Argentina,0,0,2,0,4050,https://img.a.transfermarkt.technology/portrait/header/296802-1682332928.jpg?lm=1
2023,113133,Germán Pezzella,Argentina,1,0,7,1,4016,https://img.a.transfermarkt.technology/portrait/header/113133-1668180931.jpg?lm=1
2023,54781,Nicolás Otamendi,Argentina,1,1,13,0,3832,https://img.a.transfermarkt.technology/portrait/header/54781-1669835534.jpg?lm=1
2023,195488,Paulo Gazzaniga,Argentina,0,0,5,0,3690,https://img.a.transfermarkt.technology/portrait/header/195488-1544621003.jpg?lm=1
2023,68863,Mauro Icardi,Argentina,35,10,3,0,3677,https://img.a.transfermarkt.technology/portrait/header/68863-1671105169.png?lm=1
2023,342385,Guido Rodríguez,Argentina,2,1,15,0,3667,https://img.a.transfermarkt.technology/portrait/header/342385-1668181269.jpg?lm=1
2023,424042,Nahuel Molina,Argentina,6,7,8,0,3627,https://img.a.transfermarkt.technology/portrait/header/424042-1697037362.jpg?lm=1
2023,111873,Emiliano Martínez,Argentina,0,0,9,0,3600,https://img.a.transfermarkt.technology/portrait/header/111873-1668180824.jpg?lm=1
2023,648195,Enzo Fernández,Argentina,3,4,8,0,3581,https://img.a.transfermarkt.technology/portrait/header/648195-1669894717.jpg?lm=1
2023,55735,Henrikh Mkhitaryan,Armenia,5,6,9,0,4017,https://img.a.transfermarkt.technology/portrait/header/55735-1664973670.jpg?lm=1
2023,515744,Eduard Spertsyan,Armenia,11,11,4,1,3039,https://img.a.transfermarkt.technology/portrait/header/515744-1721724398.png?lm=1
2023,461701,Nair Tiknizyan,Armenia,12,8,9,0,2838,https://img.a.transfermarkt.technology/portrait/header/461701-1721715754.png?lm=1
2023,189715,Khoren Bayramyan,Armenia,0,3,8,0,2396,https://img.a.transfermarkt.technology/portrait/header/189715-1721923090.png?lm=1
2023,430488,Edgar Sevikyan,Armenia,7,0,3,0,1952,https://img.a.transfermarkt.technology/portrait/header/430488-1728229663.png?lm=1
2023,565852,Ugochukwu Iwu,Armenia,1,0,3,0,1691,https://img.a.transfermarkt.technology/portrait/header/565852-1722142255.png?lm=1
2023,524791,Artur Galoyan,Armenia,1,1,0,0,1162,https://img.a.transfermarkt.technology/portrait/header/524791-1722317731.png?lm=1
2023,718758,Georgiy Harutyunyan,Armenia,1,0,2,0,1013,https://img.a.transfermarkt.technology/portrait/header/718758-1721724338.png?lm=1
2023,520064,Tigran Avanesyan,Armenia,1,0,0,0,599,https://img.a.transfermarkt.technology/portrait/header/520064-1723366647.png?lm=1
2023,623120,Artur Serobyan,Armenia,0,1,2,0,482,https://img.a.transfermarkt.technology/portrait/header/623120-1673869278.png?lm=1
2023,399990,Kye Rowles,Australia,0,0,6,0,3553,https://img.a.transfermarkt.technology/portrait/header/399990-1731012197.jpg?lm=1
2023,128969,Mathew Ryan,Australia,0,0,1,0,3480,https://img.a.transfermarkt.technology/portrait/header/128969-1699801002.jpg?lm=1
2023,137669,Jason Davidson,Australia,1,0,4,0,2701,https://img.a.transfermarkt.technology/portrait/header/137669-1730217415.jpg?lm=1
2023,479037,Keanu Baccus,Australia,1,1,12,0,2394,https://img.a.transfermarkt.technology/portrait/header/479037-1625838666.jpg?lm=1
2023,179467,James Jeggo,Australia,0,0,8,1,2378,https://img.a.transfermarkt.technology/portrait/header/179467-1535374331.jpg?lm=1
2023,549354,Ryan Strain,Australia,3,4,4,1,2311,https://img.a.transfermarkt.technology/portrait/header/549354-1669106236.jpg?lm=1
2023,399162,Cammy Devlin,Australia,4,1,10,0,1870,https://img.a.transfermarkt.technology/portrait/header/399162-1632992221.png?lm=1
2023,140554,Martin Boyle,Australia,5,3,5,0,1766,https://img.a.transfermarkt.technology/portrait/header/140554-1668506185.jpg?lm=1
2023,603864,Lewis Miller,Australia,2,1,9,0,1757,https://img.a.transfermarkt.technology/portrait/header/603864-1664871614.png?lm=1
2023,54265,Ryan McGowan,Australia,0,1,2,0,1598,https://img.a.transfermarkt.technology/portrait/header/54265-1497545008.jpg?lm=1
2023,263236,Kevin Danso,Austria,0,2,9,1,3684,https://img.a.transfermarkt.technology/portrait/header/263236-1691217955.png?lm=1
2023,223967,Konrad Laimer,Austria,5,3,11,0,3271,https://img.a.transfermarkt.technology/portrait/header/223967-1700659266.jpg?lm=1
2023,225657,Philipp Lienhart,Austria,2,1,9,0,3185,https://img.a.transfermarkt.technology/portrait/header/225657-1658411602.jpg?lm=1
2023,223974,Stefan Posch,Austria,5,1,9,0,3016,https://img.a.transfermarkt.technology/portrait/header/223974-1725531246.jpg?lm=1
2023,263361,Maximilian Wöber,Austria,1,2,7,0,2932,https://img.a.transfermarkt.technology/portrait/header/263361-1661532387.png?lm=1
2023,106872,Kevin Stöger,Austria,9,7,8,0,2806,https://img.a.transfermarkt.technology/portrait/header/106872-1722945684.jpg?lm=1
2023,223979,Xaver Schlager,Austria,1,4,5,0,2723,https://img.a.transfermarkt.technology/portrait/header/223979-1713945331.jpg?lm=1
2023,59016,David Alaba,Austria,0,2,4,0,2692,https://img.a.transfermarkt.technology/portrait/header/59016-1684921582.jpeg?lm=1
2023,106270,Florian Kainz,Austria,4,7,5,1,2594,https://img.a.transfermarkt.technology/portrait/header/106270-1721140143.jpg?lm=1
2023,422281,Muhammed Cham,Austria,6,5,4,0,2478,https://img.a.transfermarkt.technology/portrait/header/422281-1725013078.jpg?lm=1
2023,288857,Dmitriy Nagiyev,Azerbaijan,0,2,0,1,1628,https://img.a.transfermarkt.technology/portrait/header/288857-1612697720.png?lm=1
2023,892054,Emil Mustafayev,Azerbaijan,3,6,3,0,1495,https://img.a.transfermarkt.technology/portrait/header/892054-1620590794.png?lm=1
2023,313078,Shahrudin Mahammadaliyev,Azerbaijan,0,0,1,0,967,https://img.a.transfermarkt.technology/portrait/header/313078-1723009810.png?lm=1
2023,335461,Renat Dadashov,Azerbaijan,4,0,4,0,851,https://img.a.transfermarkt.technology/portrait/header/335461-1696432697.png?lm=1
2023,255957,Mahir Emreli,Azerbaijan,2,0,3,0,621,https://img.a.transfermarkt.technology/portrait/header/255957-1591429739.png?lm=1
2023,494954,Kirill Kaplenko,Belarus,2,3,4,0,1687,https://img.a.transfermarkt.technology/portrait/header/494954-1724741315.png?lm=1
